,q_values,state,action
0,[[8.762112 9.341609 7.096934]],"[ 0.58625551  0.35365114  0.69704471 -0.88227645  0.03804423  0.
  1.          0.        ]",[0. 1. 0.]
1,[[10.41095  10.336853 12.567423]],"[ 0.61049541  0.24597064  0.69704471 -0.95830616  0.          1.
  0.          0.        ]",[0. 0. 1.]
2,[[7.896572 8.565191 6.595772]],"[ 0.43607172  0.17117403  0.70028622 -0.92517364 -0.02757477  0.
  1.          0.        ]",[0. 1. 0.]
3,[[6.5726695 6.4065557 4.077143 ]],"[ 0.2862423   0.05811979 -0.35030834 -0.88630253 -0.05667888  0.
  1.          0.        ]",[1. 0. 0.]
4,[[5.2547874 5.36213   1.865587 ]],"[ 0.2650764   0.01262576 -0.353308   -0.94879352 -0.0611543   0.
  1.          0.        ]",[0. 1. 0.]
5,[[4.908851  4.9624996 1.0385783]],"[ 0.30545839  0.01312881 -0.353308   -0.96490485 -0.04818034  0.
  1.          0.        ]",[0. 1. 0.]
6,[[5.4484777 5.5888114 2.2225235]],"[ 0.31817621  0.0318487  -0.15338255 -0.9685481  -0.04418839  0.
  1.          0.        ]",[0. 1. 0.]
7,[[5.527959  5.757309  2.3711362]],"[ 0.34833543  0.0378961  -0.15338255 -0.96355027 -0.03500345  0.
  1.          0.        ]",[0. 1. 0.]
8,[[5.974888 6.285987 3.400278]],"[ 0.35818159  0.02839697 -0.05421674 -0.96108996 -0.0320998   0.
  1.          0.        ]",[0. 1. 0.]
9,[[6.023245  6.3870945 3.5319922]],"[ 0.3604262   0.04296912  0.02002361 -0.93098243 -0.03147701  0.
  1.          0.        ]",[0. 1. 0.]
10,[[6.0820055 6.4440427 3.71072  ]],"[ 0.27677886 -0.13582423 -0.866667   -0.80878042 -0.04388833  0.
  1.          0.        ]",[0. 1. 0.]
11,[[5.7475805 6.225279  3.5036216]],"[ 0.29809274 -0.11858193 -0.866667   -0.95505276 -0.03877676  0.
  1.          0.        ]",[0. 1. 0.]
12,[[5.872416  6.273731  3.4198112]],"[ 0.30664458 -0.08783107 -0.866667   -0.95745182 -0.03681266  0.
  1.          0.        ]",[0. 1. 0.]
13,[[6.013757  6.4330096 3.6682317]],"[ 0.15448415 -0.21534077 -0.60440081 -0.97078764 -0.05937507  0.
  1.          0.        ]",[0. 1. 0.]
14,[[4.5018935 4.546821  0.6956872]],"[ 0.06561642 -0.33763403 -0.45529151 -0.91701174 -0.07493041  0.
  1.          0.        ]",[0. 1. 0.]
15,[[ 3.7619007  3.92751   -0.6465301]],"[-0.0167163  -0.54628564 -0.0046995  -0.92191578 -0.09111317  0.
  1.          0.        ]",[0. 1. 0.]
16,[[ 2.9829524  3.4973853 -2.1463404]],"[ 0.03264192 -0.39360463 -0.09728485 -0.95323943 -0.08193332  0.
  1.          0.        ]",[0. 1. 0.]
17,[[ 3.3626733  3.7185922 -1.5766943]],"[ 0.01915466 -0.30045295 -0.09728485 -0.94369488 -0.08443627  0.
  1.          0.        ]",[0. 1. 0.]
18,[[ 3.3432007  3.6314328 -1.7189968]],"[ 0.01915466 -0.26881525 -0.09728485 -1.         -0.08443627  0.
  1.          0.        ]",[0. 1. 0.]
19,[[ 3.4072833  3.6751633 -1.7663555]],"[-0.05560262 -0.29326317  0.24290363 -0.8418083  -0.09770697  0.
  1.          0.        ]",[0. 1. 0.]
20,[[ 2.7967842  3.2330282 -2.701559 ]],"[ 0.04182575 -0.19439324  0.18415004 -0.93778592 -0.08205418  0.
  1.          0.        ]",[0. 1. 0.]
21,[[ 3.374193   3.6868577 -1.7949791]],"[ 0.12101243 -0.07097824 -0.3372076  -0.94460729 -0.06844942  0.
  1.          0.        ]",[0. 1. 0.]
